cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
450.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,18.0,1992.0,0.0,20,28,131.0,1,500.0,0.17999999964
630.0,0.0,0.0,70.0,0.0,0.0,0.0,126.0,18.0,1788.0,0.0,20,28,135.0,1,700.0,0.17999999974285713
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,28,137.0,1,900.0,0.1799999998
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,28,137.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,126.0,18.0,1539.0,0.0,20,28,150.0,1,900.0,0.13999999984444444
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,28,142.0,1,900.0,0.1599999998222222
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,28,142.0,1,900.0,0.1599999998222222
450.0,180.0,0.0,90.0,180.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,28,150.0,1,900.0,0.1599999998222222
270.0,180.0,0.0,90.0,360.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,28,130.0,1,900.0,0.1599999998222222
450.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,18.0,1992.0,0.0,20,56,139.0,1,500.0,0.17999999964
630.0,0.0,0.0,70.0,0.0,0.0,0.0,126.0,18.0,1788.0,0.0,20,56,146.0,1,700.0,0.17999999974285713
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,56,150.0,1,900.0,0.1799999998
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,56,150.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,56,141.0,1,900.0,0.1799999998
450.0,360.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,56,133.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,126.0,18.0,1539.0,0.0,20,56,159.0,1,900.0,0.13999999984444444
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,56,160.0,1,900.0,0.1599999998222222
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,56,141.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,56,160.0,1,900.0,0.1599999998222222
450.0,180.0,0.0,90.0,180.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,56,161.0,1,900.0,0.1599999998222222
270.0,180.0,0.0,90.0,360.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,56,139.0,1,900.0,0.1599999998222222
450.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,18.0,1992.0,0.0,20,90,151.0,1,500.0,0.17999999964
630.0,0.0,0.0,70.0,0.0,0.0,0.0,126.0,18.0,1788.0,0.0,20,90,160.0,1,700.0,0.17999999974285713
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,90,170.0,1,900.0,0.1799999998
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,90,170.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,90,169.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,126.0,18.0,1539.0,0.0,20,90,168.0,1,900.0,0.13999999984444444
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,90,172.0,1,900.0,0.1599999998222222
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,90,169.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,90,172.0,1,900.0,0.1599999998222222
450.0,180.0,0.0,90.0,180.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,90,176.0,1,900.0,0.1599999998222222
270.0,180.0,0.0,90.0,360.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,90,150.0,1,900.0,0.1599999998222222
450.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,18.0,1992.0,0.0,20,180,159.0,1,500.0,0.17999999964
630.0,0.0,0.0,70.0,0.0,0.0,0.0,126.0,18.0,1788.0,0.0,20,180,167.0,1,700.0,0.17999999974285713
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,180,174.0,1,900.0,0.1799999998
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,180,174.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,180,170.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,126.0,18.0,1539.0,0.0,20,180,168.0,1,900.0,0.13999999984444444
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,180,175.0,1,900.0,0.1599999998222222
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,180,170.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,180,175.0,1,900.0,0.1599999998222222
450.0,180.0,0.0,90.0,180.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,180,179.0,1,900.0,0.1599999998222222
270.0,180.0,0.0,90.0,360.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,180,160.0,1,900.0,0.1599999998222222
450.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,18.0,1992.0,0.0,20,365,161.0,1,500.0,0.17999999964
630.0,0.0,0.0,70.0,0.0,0.0,0.0,126.0,18.0,1788.0,0.0,20,365,169.0,1,700.0,0.17999999974285713
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,365,177.0,1,900.0,0.1799999998
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,365,177.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,365,174.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,126.0,18.0,1539.0,0.0,20,365,168.0,1,900.0,0.13999999984444444
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,365,178.0,1,900.0,0.1599999998222222
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,365,174.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,365,178.0,1,900.0,0.1599999998222222
450.0,180.0,0.0,90.0,180.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,365,183.0,1,900.0,0.1599999998222222
270.0,180.0,0.0,90.0,360.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,365,164.0,1,900.0,0.1599999998222222
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,0.0,21,7,85.91,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,0.0,21,7,78.52,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,0.0,21,7,85.91,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,39.0,21,7,106.71,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,39.0,21,7,89.93,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,39.0,21,7,99.33,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,78.0,21,7,108.73,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,78.0,21,7,92.62,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,78.0,21,7,102.01,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,117.0,21,7,110.74,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,117.0,21,7,100.0,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,117.0,21,7,108.73,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,156.0,21,7,120.81,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,156.0,21,7,105.37,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,156.0,21,7,114.77,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,195.0,21,7,114.09,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,195.0,21,7,122.82,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,0.0,21,28,100.67,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,0.0,21,28,88.59,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,39.0,21,28,115.44,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,39.0,21,28,100.67,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,39.0,21,28,106.71,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,78.0,21,28,124.83,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,78.0,21,28,114.09,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,78.0,21,28,120.81,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,117.0,21,28,132.22,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,117.0,21,28,126.17,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,117.0,21,28,130.2,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,156.0,21,28,146.31,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,156.0,21,28,134.23,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,156.0,21,28,139.6,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,195.0,21,28,155.71,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,195.0,21,28,141.61,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,195.0,21,28,148.32,1,918.6,0.22000870866535083
729.0,0.0,0.0,124.0,0.0,397.0,0.0,170.0,30.0,833.0,156.0,23,28,166.1,1,1250.0,0.13599999989119999
401.0,0.0,328.0,124.0,0.0,397.0,0.0,170.0,30.0,833.0,156.0,23,28,124.7,1,1250.0,0.13599999989119999
401.0,328.0,0.0,124.0,0.0,397.0,0.0,170.0,30.0,833.0,156.0,23,28,139.4,1,1250.0,0.13599999989119999
439.5,0.0,0.0,0.0,263.7,175.9,0.0,175.8,43.9,1273.4,0.0,21,3,49.61,1,879.1,0.19997724923219515
435.1,0.0,0.0,0.0,263.7,175.9,4.4,175.8,43.9,1273.4,0.0,21,3,50.87,1,879.0999999999999,0.19997724923219518
430.7,0.0,0.0,0.0,263.7,175.9,8.8,175.8,43.9,1273.4,0.0,21,3,54.96,1,879.0999999999999,0.19997724923219518
426.3,0.0,0.0,0.0,263.7,175.9,13.2,175.8,43.9,1273.4,0.0,21,3,56.85,1,879.1,0.19997724923219515
421.9,0.0,0.0,0.0,263.7,175.9,17.6,175.8,43.9,1273.4,0.0,21,3,57.17,1,879.0999999999999,0.19997724923219518
417.5,0.0,0.0,0.0,263.7,175.9,22.0,175.8,43.9,1273.4,0.0,21,3,55.91,1,879.1,0.19997724923219515
435.1,0.0,0.0,0.0,263.7,175.9,4.4,175.8,43.9,1273.4,195.0,21,3,70.35,1,879.0999999999999,0.19997724923219518
430.7,0.0,0.0,0.0,263.7,175.9,8.8,175.8,43.9,1273.4,195.0,21,3,72.84,1,879.0999999999999,0.19997724923219518
426.3,0.0,0.0,0.0,263.7,175.9,13.2,175.8,43.9,1273.4,195.0,21,3,78.44,1,879.1,0.19997724923219515
421.9,0.0,0.0,0.0,263.7,175.9,17.6,175.8,43.9,1273.4,195.0,21,3,79.69,1,879.0999999999999,0.19997724923219518
417.5,0.0,0.0,0.0,263.7,175.9,22.0,175.8,43.9,1273.4,195.0,21,3,77.82,1,879.1,0.19997724923219515
430.7,0.0,0.0,0.0,263.7,175.9,8.8,175.8,43.9,1273.4,0.0,21,7,65.98,1,879.0999999999999,0.19997724923219518
426.3,0.0,0.0,0.0,263.7,175.9,13.2,175.8,43.9,1273.4,0.0,21,7,68.82,1,879.1,0.19997724923219515
421.9,0.0,0.0,0.0,263.7,175.9,17.6,175.8,43.9,1273.4,0.0,21,7,69.13,1,879.0999999999999,0.19997724923219518
417.5,0.0,0.0,0.0,263.7,175.9,22.0,175.8,43.9,1273.4,0.0,21,7,65.35,1,879.1,0.19997724923219515
439.5,0.0,0.0,0.0,263.7,175.9,0.0,175.8,43.9,1273.4,195.0,21,7,90.89,1,879.1,0.19997724923219515
435.1,0.0,0.0,0.0,263.7,175.9,4.4,175.8,43.9,1273.4,195.0,21,7,94.63,1,879.0999999999999,0.19997724923219518
430.7,0.0,0.0,0.0,263.7,175.9,8.8,175.8,43.9,1273.4,195.0,21,7,96.5,1,879.0999999999999,0.19997724923219518
426.3,0.0,0.0,0.0,263.7,175.9,13.2,175.8,43.9,1273.4,195.0,21,7,100.86,1,879.1,0.19997724923219515
421.9,0.0,0.0,0.0,263.7,175.9,17.6,175.8,43.9,1273.4,195.0,21,7,103.35,1,879.0999999999999,0.19997724923219518
417.5,0.0,0.0,0.0,263.7,175.9,22.0,175.8,43.9,1273.4,195.0,21,7,98.99,1,879.1,0.19997724923219515
435.1,0.0,0.0,0.0,263.7,175.9,4.4,175.8,43.9,1273.4,0.0,21,28,77.01,1,879.0999999999999,0.19997724923219518
430.7,0.0,0.0,0.0,263.7,175.9,8.8,175.8,43.9,1273.4,0.0,21,28,81.1,1,879.0999999999999,0.19997724923219518
426.3,0.0,0.0,0.0,263.7,175.9,13.2,175.8,43.9,1273.4,0.0,21,28,88.66,1,879.1,0.19997724923219515
421.9,0.0,0.0,0.0,263.7,175.9,17.6,175.8,43.9,1273.4,0.0,21,28,91.18,1,879.0999999999999,0.19997724923219518
417.5,0.0,0.0,0.0,263.7,175.9,22.0,175.8,43.9,1273.4,0.0,21,28,86.46,1,879.1,0.19997724923219515
439.5,0.0,0.0,0.0,263.7,175.9,0.0,175.8,43.9,1273.4,195.0,21,28,113.93,1,879.1,0.19997724923219515
435.1,0.0,0.0,0.0,263.7,175.9,4.4,175.8,43.9,1273.4,195.0,21,28,120.16,1,879.0999999999999,0.19997724923219518
430.7,0.0,0.0,0.0,263.7,175.9,8.8,175.8,43.9,1273.4,195.0,21,28,126.38,1,879.0999999999999,0.19997724923219518
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,0.0,21,28,98.89,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,28,139.44,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,28,141.67,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,28,129.44,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,28,124.44,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,28,120.56,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,28,129.01,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,28,132.96,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,28,129.58,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,28,136.34,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,0.0,21,7,86.11,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,7,113.89,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,7,117.22,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,7,114.44,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,7,112.22,1,884.3,0.20004523329181814
594.2,0.0,0.0,0.0,265.3,0.0,24.8,176.9,44.2,1282.3,156.0,21,7,111.11,1,884.3,0.20004523329181814
753.0,0.0,183.0,188.0,0.0,0.0,0.0,180.72,27.0,1129.0,0.0,20,28,166.0,1,1124.0,0.16078291800642086
745.0,0.0,181.0,186.0,0.0,0.0,0.0,171.35,27.0,1118.0,0.0,20,28,162.0,1,1112.0,0.1540917264801333
778.0,0.0,189.0,194.0,0.0,0.0,0.0,178.94,28.0,1167.0,0.0,20,28,181.0,1,1161.0,0.15412575352788477
758.0,0.0,184.0,190.0,0.0,0.0,0.0,166.76,27.0,1138.0,0.0,20,28,155.0,1,1132.0,0.14731448750237233
745.0,0.0,181.0,186.0,0.0,0.0,0.0,171.35,27.0,1118.0,0.0,20,28,159.0,1,1112.0,0.1540917264801333
890.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,1,59.0,1,890.0,0.1999999997752809
890.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,1,70.7,1,890.0,0.1999999997752809
845.5,0.0,0.0,44.5,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,1,73.2,1,890.0,0.1999999997752809
801.0,0.0,0.0,89.0,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,1,75.7,1,890.0,0.1999999997752809
756.5,0.0,0.0,133.5,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,1,70.5,1,890.0,0.1999999997752809
712.0,0.0,0.0,178.0,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,1,62.1,1,890.0,0.1999999997752809
845.5,0.0,0.0,44.5,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,1,77.8,1,890.0,0.1999999997752809
712.0,0.0,178.0,0.0,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,1,53.7,1,890.0,0.1999999997752809
667.5,0.0,178.0,44.5,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,1,52.8,1,890.0,0.1999999997752809
1009.0,0.0,0.0,0.0,0.0,0.0,0.0,201.8,34.2,1231.0,0.0,21,1,72.8,1,1009.0,0.19999999980178396
1009.0,0.0,0.0,0.0,0.0,0.0,0.0,201.8,34.2,1231.0,0.0,21,1,73.2,1,1009.0,0.19999999980178396
958.55,0.0,0.0,50.45,0.0,0.0,0.0,201.8,34.2,1231.0,0.0,21,1,80.1,1,1009.0,0.19999999980178396
756.75,0.0,201.8,50.45,0.0,0.0,0.0,201.8,34.2,1231.0,0.0,21,1,53.1,1,1009.0,0.19999999980178396
890.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,7,95.7,1,890.0,0.1999999997752809
890.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,7,97.4,1,890.0,0.1999999997752809
845.5,0.0,0.0,44.5,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,7,105.7,1,890.0,0.1999999997752809
801.0,0.0,0.0,89.0,0.0,0.0,0.0,178.0,30.2,1231.0,0.0,21,7,102.6,1,890.0,0.1999999997752809
